minute,raw_momentum,momentum
37.5,1.548612952673519,9.31861485901577
37.75,1.4829568440124672,8.92353616055998
38.0,3.5211047389607413,21.187875823965065
38.25,3.3718214497121006,20.289579400062937
38.5,3.2288672821741278,19.429367797494464
38.75,3.091973902350232,18.60562634477992
39.0,6.188124312724954,37.23638438542265
39.25,5.925768143236022,35.65768384883388
39.5,5.67453501462191,34.14591503575586
39.75,5.4339533464408705,32.698240260694575
40.0,5.203571551714769,31.311942146711303
40.25,4.98295718927183,29.98441852473468
40.5,4.771696152027249,28.71317754912502
40.75,4.5693918896780525,27.495833020322742
41.0,5.07566466435316,30.54227596312383
41.25,4.860473134310409,29.24738366228856
41.5,4.654405019162927,28.00739054685739
41.75,4.457073516050326,26.819969071476855
42.0,4.268108221284519,25.682890371080514
42.25,4.0871544350786095,24.594020077168512
42.5,3.913872495753002,23.551314311463152
42.75,3.747937142168989,22.552815849420384
43.0,5.61449538319306,33.784632895762904
43.25,5.37645919841267,32.35227529817951
43.5,5.148514966941995,30.980644963600117
43.75,4.930234823069364,29.66716725530122
44.0,4.997081241185574,30.06940851516818
44.25,4.785221390476606,28.794564242790674
44.5,4.582343702389389,27.573769185182197
44.75,4.388067362696527,26.404731832955708
45.0,4.027839962444533,24.237101503622835
45.25,3.857072762165703,23.209527914493545
45.5,3.6935455309429877,22.225520074384153
45.75,3.5369513178405594,21.283230938462268
46.0,3.2719802156352635,19.688795320474377
46.25,3.1332589888731546,18.854054991888987
46.5,3.000419087023229,18.054704914704217
46.75,2.873211161204063,17.289244658365416
47.0,5.61055227410877,33.76090565336825
47.25,5.3726832642174,32.32955401302045
47.5,5.144899119968905,30.95888698639012
47.75,4.926772276145427,29.646331744943556
48.0,3.9817788948916393,23.959933895164237
48.25,3.8129645327645747,22.944111303330224
48.5,3.651307345762661,21.971356256782254
48.75,3.496503893141126,21.03984283289182
49.0,3.3482635990472773,20.14782252215958
49.25,3.2063082070912863,19.293620946152625
49.5,3.0703712580413764,18.475634714590466
49.75,2.94019758966303,17.692328415680294
50.0,3.015542857763356,18.145710607572784
50.25,2.8876937336813415,17.376392008418605
50.5,2.765264993025966,16.639689993966133
50.75,2.6480268293225837,15.934221728029202
51.0,2.5357591791371483,15.258663002139258
51.25,2.428251309003255,14.611745749922498
51.5,2.325301419862123,13.992255666859226
51.75,2.2267162682730204,13.399029930957603
52.0,2.429642303683129,14.62011591347454
52.25,2.3266334409310048,14.000270962936645
52.5,2.227991816018541,13.40670540477711
52.75,2.133532272388928,12.838305078973859
53.0,4.09128962351592,24.618903136780165
53.25,3.917832365766877,23.575142410981087
53.5,3.7517291266854156,22.57563371569157
53.75,3.5926681200063486,21.618500909995575
54.0,3.440350778179256,20.701947395196864
54.25,3.294491191938347,19.82425274248981
54.5,3.154815573632715,18.983769463605935
54.75,3.0210617433096405,18.178919918374447
55.0,3.245792636586264,19.53121432980375
55.25,3.10818167726228,18.703154918247066
55.5,2.976404971153554,17.91020250912705
55.75,2.850215165064187,17.15086868071589
56.0,2.729375392762292,16.423728115483954
56.25,2.6136588303671284,15.727415924688833
56.5,2.502848270586359,15.060625086393017
56.75,2.396735715004249,14.422103992101196
57.0,2.295121983655511,13.810654097412103
57.25,2.1978163411519347,13.225127672275026
57.5,2.1046361386600285,12.664425646628056
57.75,2.0154064710576214,12.127495547374181
58.0,4.395227068625912,26.447814607088887
58.25,4.208883860331349,25.326514035055983
58.5,4.030440992732577,24.252752928628073
58.75,3.859563517302732,23.224515770426187
59.0,3.695930686233622,22.23987249439588
59.25,3.539235350371847,21.296974862951462
59.5,3.3891833826804465,20.394052997717374
59.75,3.2454931261438853,19.529412057354744
60.0,3.107894865080054,18.70142905623718
60.25,2.9761303188669106,17.90854981800435
60.5,2.8499521571334454,17.14928605827481
60.75,2.729123535504965,16.422212591042275
61.0,5.090714371031245,30.632835983322625
61.25,4.874884782798896,29.334104234731065
61.5,4.668205661035776,28.090434451532385
61.75,4.470289055983512,26.89949218703565
62.0,4.980763465680741,29.971218024753576
62.25,4.769595435119476,28.700536707036257
62.5,4.56738023627535,27.48372810846775
62.75,4.373738298455102,26.31850820249632
63.0,4.188306143517604,25.202689797802805
63.25,4.010735703602448,24.134178432804433
63.5,3.840693667784606,23.110968444218287
63.75,3.6778608564287767,22.13113920230464
64.0,3.6278329240690623,21.83010140390044
64.25,3.474024709914833,20.904576722357596
64.5,3.3267374594423544,20.018291250944667
64.75,3.1856947051848374,19.16958137588417
65.0,3.0506317009890758,18.35685401516496
65.25,2.921294925070209,17.57858362822675
65.5,2.797441604135326,16.83330935242417
65.75,2.6788392576826685,16.11963226089537
66.0,3.265265261621055,19.648388794010557
66.25,3.1268287268794093,18.815361569585605
66.5,2.9942614470422657,18.017651966565033
66.75,2.867314584956932,17.253762633667787
